Date,State,Population,Confirmed,Recovered,Deceased,Tested
Fri Mar 20 00:00:00 GMT+05:30 2020,RJ,77264000,17,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,TG,37220000,19,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,TN,75695000,3,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,TT,1332900000,256,4,1,15404
Fri Mar 20 00:00:00 GMT+05:30 2020,UP,224979000,24,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,UT,11141000,3,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,WB,96906000,2,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,AP,52221000,5,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,CH,1179000,5,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,CT,28724000,1,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,DL,19814000,27,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,GJ,67936000,14,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,HP,7300000,2,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,HR,28672000,21,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,JK,13203000,4,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,KA,65798000,20,1,1,
Sat Mar 21 00:00:00 GMT+05:30 2020,KL,35125000,52,3,,
Sat Mar 21 00:00:00 GMT+05:30 2020,LA,293000,13,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,MH,122153000,64,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,MP,82232000,4,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,OR,43671000,2,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,PB,29859000,13,,,3675493
Sat Mar 21 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,RJ,77264000,24,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,TG,37220000,21,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,TN,75695000,6,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,TT,1332900000,334,4,1,16911
Sat Mar 21 00:00:00 GMT+05:30 2020,UP,224979000,28,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,UT,11141000,3,,,
Sat Mar 21 00:00:00 GMT+05:30 2020,WB,96906000,4,,,
Sun Mar 22 00:00:00 GMT+05:30 2020,AP,52221000,6,,,
